bone ,neo_Hookean_tendon,muscle,fat ,skin,Ogeden_Tendon_A,Ogeden_Tendon_B,Ogeden_Tendon_C,Ogden_Mus_A,Ogden_Mus_B,Ogden_Mus_C,Ogden_fat_A,Ogden_fat_B,Ogden_fat_C,Ogden_skin_A,Ogden_skin_B,Ogden_skin_C
48.3695,8.84,8.84,39.05,4.71,5,900,850000,5,900,850000,5,2000,750000,5,800,3000000
55.8815,10.485,10.485,32.7,4.92,5,900,850000,5,900,850000,5,2000,750000,5,800,3000000
19.2675,13.82,13.82,16.52,2.12,5,900,850000,5,900,850000,5,2000,750000,5,800,3000000
16.6575,11.1,11.1,16.75,1.75,5,900,850000,5,900,850000,5,2000,750000,5,800,3000000
14.2105,5.605,5.605,22.23,1.35,5,900,850000,5,900,850000,5,2000,750000,5,800,3000000
20.283,10.81,10.81,22.42,1.41,5,900,850000,5,900,850000,5,2000,750000,5,800,3000000
13.8595,12.56,12.56,17.57,1.88,5,900,850000,5,900,850000,5,2000,750000,5,800,3000000
23.912,11.5,11.5,12.13,2.05,5,900,850000,5,900,850000,5,2000,750000,5,800,3000000
28.799,8.795,8.795,7.48,2.14,5,900,850000,5,900,850000,5,2000,750000,5,800,3000000
14.5425,3.24,3.24,4.89,1.96,5,900,850000,5,900,850000,5,2000,750000,5,800,3000000
13.484,9.54,9.54,12.99,1.33,5,900,850000,5,900,850000,5,2000,750000,5,800,3000000
16.4225,5.73,5.73,11.9,1.61,5,900,850000,5,900,850000,5,2000,750000,5,800,3000000
15.8235,5.66,5.66,11.48,2.15,5,900,850000,5,900,850000,5,2000,750000,5,800,3000000
17.382,5.91,5.91,8.98,2.07,5,900,850000,5,900,850000,5,2000,750000,5,800,3000000
23.3355,10.485,10.485,17.67,1.8,5,900,850000,5,900,850000,5,2000,750000,5,800,3000000
13.683,9.19,9.19,13.82,1.71,5,900,850000,5,900,850000,5,2000,750000,5,800,3000000
21.9985,9.235,9.235,8.29,2.7,5,900,850000,5,900,850000,5,2000,750000,5,800,3000000
26.138,7.535,7.535,7.65,2.05,5,900,850000,5,900,850000,5,2000,750000,5,800,3000000
